document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
168,Grade 8,Science,Chapter 11: Keeping Time with the Skies,Science Text Book - Chapter 11: Keeping Time with the Skies,35,0,False,96,100,89,100,0,0,56,0,2026-07-10T05:25:40.932798+00:00
167,Grade 8,Science,Chapter 10: Light: Mirrors and Lenses,Science Text Book - Chapter 10: Light: Mirrors and Lenses,28,0,False,95,99,89,100,1,0,45,0,2026-07-10T05:25:41.295436+00:00
166,Grade 8,Science,"Chapter 9: The Amazing World of Solutes, Solvents, and Solutions","Science Text Book - Chapter 9: The Amazing World of Solutes, Solvents, and Solutions",30,0,False,96,100,90,100,0,0,45,0,2026-07-10T05:25:41.675475+00:00
165,Grade 8,Science,"Chapter 8: Nature of Matter: Elements, Compounds, and Mixtures","Science Text Book - Chapter 8: Nature of Matter: Elements, Compounds, and Mixtures",29,0,False,96,99,89,100,1,0,44,0,2026-07-10T05:25:42.046473+00:00
164,Grade 8,Science,Chapter 7: Particulate Nature of Matter,Science Text Book - Chapter 7: Particulate Nature of Matter,26,0,False,96,100,90,100,0,0,39,0,2026-07-10T05:25:42.359964+00:00
163,Grade 8,Science,"Chapter 6: Pressure, Winds, Storms, and Cyclones","Science Text Book - Chapter 6: Pressure, Winds, Storms, and Cyclones",30,0,False,96,100,88,100,0,0,50,0,2026-07-10T05:25:42.739958+00:00
148,Grade 8,Science,Chapter 5: Exploring Forces,Science Text Book - Chapter 5: Exploring Forces,28,0,False,97,100,91,100,0,0,38,0,2026-07-10T05:25:43.101781+00:00
147,Grade 8,Science,Chapter 4: Electricity: Magnetic and Heating Effects,Science Text Book - Chapter 4: Electricity — Magnetic and Heating Effects,26,0,False,96,100,89,100,0,0,42,0,2026-07-10T05:25:43.432934+00:00
146,Grade 8,Science,Chapter 3: Interpreting Health: The Ultimate Treasure,Science Text Book - Chapter 3: Interpreting Health and Media Claims,29,0,False,96,99,90,100,1,0,41,0,2026-07-10T05:25:43.928830+00:00
145,Grade 8,Science,Chapter 2: The Invisible Living World: Beyond Our Naked Eye,Science Text Book - Chapter 2: The Invisible Living World — Beyond Our Naked Eye,34,0,False,97,100,90,100,0,0,47,0,2026-07-10T05:25:44.492697+00:00
144,Grade 8,Science,Chapter 1: Exploring the Investigative World of Science,Science Text Book - Chapter 1: Exploring the Investigative World of Science,12,0,False,96,100,88,100,0,0,20,0,2026-07-10T05:25:44.691154+00:00
143,Grade 8,Hindi,Chapter 10: तरुण केे स्वप्न,Grade 8 Hindi Text Book - Chapter 10: तरुण क स्‍�प्‍न,28,0,False,97,98,93,100,0,0,33,0,2026-07-10T05:25:45.347251+00:00
142,Grade 8,Hindi,Chapter 9: आदमी का अनुपात,Grade 8 Hindi Text Book - Chapter 9: आदमी का अनुपात,16,0,False,98,100,93,100,0,0,15,0,2026-07-10T05:25:45.580347+00:00
141,Grade 8,Hindi,Chapter 8: नए मेहेमाान,Grade 8 Hindi Text Book - Chapter 8: नए मेहेमाान,36,0,False,97,99,94,100,0,0,39,0,2026-07-10T05:25:46.350333+00:00
140,Grade 8,Hindi,Chapter 7: मत बाँधो,Grade 8 Hindi Text Book - Chapter 7: मत बाँधो,19,0,False,98,100,95,100,0,0,14,0,2026-07-10T05:25:46.628438+00:00
139,Grade 8,Hindi,Chapter 6: एक टोकरी भर,Grade 8 Hindi Text Book - Chapter 6: एक टोकरी भर,22,0,False,98,100,95,100,0,0,17,0,2026-07-10T05:25:47.094219+00:00
138,Grade 8,Hindi,Chapter 5: कबीर के दोहे,Grade 8 Hindi Text Book - Chapter 5: कबीर के दोहे,18,0,False,98,99,93,100,0,0,19,0,2026-07-10T05:25:47.357189+00:00
137,Grade 8,Hindi,Chapter 4: हरिद्वार,Grade 8 Hindi Text Book - Chapter 4: हरिद्वार,28,0,False,98,100,94,100,0,0,26,0,2026-07-10T05:25:47.883356+00:00
136,Grade 8,Hindi,Chapter 3: एक आशीर्वाद,Grade 8 Hindi Text Book - Chapter 3: एक आशीर्वाद,11,0,False,98,100,94,100,0,0,9,0,2026-07-10T05:25:48.099365+00:00
135,Grade 8,Hindi,Chapter 2: दो गौरैैयाा,Grade 8 Hindi Text Book - Chapter 2: दो गौरैैयाा,34,0,False,98,100,94,100,0,0,30,0,2026-07-10T05:25:48.826034+00:00
134,Grade 8,Hindi,Chapter 1: स्वदेश,Grade 8 Hindi Text Book - Chapter 1: स्वदेश,14,0,False,97,99,94,100,0,1,13,1,2026-07-10T05:25:49.133542+00:00
133,Grade 8,English,Unit 5: Science and Curiosity,Text Book - Unit 5: Science and Curiosity,59,0,False,96,100,89,100,0,0,89,0,2026-07-10T05:25:50.271340+00:00
132,Grade 8,English,Unit 4: Environment,Text Book - Unit 4: Environment,60,0,False,96,100,89,100,0,0,102,0,2026-07-10T05:25:51.509662+00:00
131,Grade 8,English,Unit 3: Mystery and Magic,Text Book - Unit 3: Mystery and Magic,66,0,False,96,100,90,100,0,0,99,0,2026-07-10T05:25:52.921977+00:00
130,Grade 8,English,Unit 2: Values and Dispositions,Text Book - Unit 2: Values and Dispositions,65,0,False,96,100,89,100,0,0,100,1,2026-07-10T05:25:54.332157+00:00
129,Grade 8,English,Unit 1: Wit and Wisdom,Text Book - Unit 1: Wit and Wisdom,58,0,False,96,100,89,100,0,0,94,0,2026-07-10T05:25:55.536365+00:00
